publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,publisher,book_id
1950,The Story of Art,E.H. Gombrich,en-US,Intermediate,3.83,164708,genre fiction,Hachette Book Group,50
2013,Scarlet,Marissa Meyer,eng,Intermediate,4.3,193766,genre fiction,"Amazon Digital Services,  Inc.",51
1997,"Rich Dad , Poor Dad",Robert T. Kiyosaki,eng,Intermediate,3.95,153764,genre fiction,Random House LLC,52
2011,Silence ,Becca Fitzpatrick,eng,Intermediate,4.16,190722,genre fiction,"Amazon Digital Services,  Inc.",53
2009,The Magicians,Lev Grossman,eng,Novice,3.47,147908,genre fiction,Macmillan,54
2004,ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),"Tsugumi Ohba, Takeshi Obata",eng,Famous,4.42,139501,genre fiction,"Amazon Digital Services,  Inc.",55
2003,A Great and Terrible Beauty,Libba Bray,eng,Intermediate,3.79,173613,genre fiction,Penguin Group (USA) LLC,56
2002,Everything Is Illuminated,Jonathan Safran Foer,eng,Intermediate,3.9,131492,genre fiction,"Amazon Digital Services,  Inc.",57
1986,The Bourne Supremacy,Robert Ludlum,en-US,Intermediate,4.09,142168,genre fiction,Penguin Group (USA) LLC,58
2012,Easy,Tammara Webber,en-CA,Intermediate,4.11,133937,genre fiction,"Amazon Digital Services,  Inc.",59
1849,David Copperfield,"Charles Dickens, Jeremy Tambling",eng,Intermediate,3.96,150512,genre fiction,Hachette Book Group,60
2007,The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",eng,Intermediate,4.11,160607,genre fiction,Random House LLC,61
1967,ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",eng,Intermediate,4.32,131389,genre fiction,"Amazon Digital Services,  Inc.",62
1968,A Wizard of Earthsea,Ursula K. Le Guin,en-US,Intermediate,3.99,155042,genre fiction,"Amazon Digital Services,  Inc.",63
2000,Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",eng,Intermediate,4.0,154476,genre fiction,"Amazon Digital Services,  Inc.",64
1959,A Separate Peace,John Knowles,en-US,Intermediate,3.56,155901,genre fiction,"Amazon Digital Services,  Inc.",65
1995,The Rainmaker,John Grisham,eng,Intermediate,3.91,137412,genre fiction,"Amazon Digital Services,  Inc.",66
1605,Don Quijote de La Mancha,"Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford",eng,Intermediate,3.85,134931,genre fiction,Hachette Book Group,67
1995,Assassin's Apprentice,Robin Hobb,eng,Intermediate,4.14,132777,genre fiction,"Amazon Digital Services,  Inc.",68
1980,The Restaurant at the End of the Universe,Douglas Adams,eng,Intermediate,4.22,153838,genre fiction,Penguin Group (USA) LLC,69
2010,Torment,Lauren Kate,eng,Intermediate,3.89,174393,genre fiction,"Amazon Digital Services,  Inc.",70
1901,The Tale of Peter Rabbit,Beatrix Potter,eng,Intermediate,4.17,162373,genre fiction,Penguin Group (USA) LLC,71
1953,The Silver Chair,"C.S. Lewis, Pauline Baynes",eng,Intermediate,3.95,170453,genre fiction,Hachette Book Group,72
2008,The Hero of Ages,Brandon Sanderson,eng,Famous,4.46,143622,nonfiction,"Amazon Digital Services,  Inc.",73
1993,"Girl, Interrupted",Susanna Kaysen,eng,Intermediate,3.9,145161,genre fiction,Hachette Book Group,74
2007,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,,Intermediate,3.85,127096,genre fiction,Hachette Book Group,75
1970,Jonathan Livingston Seagull,"Richard Bach, Russell Munson",en-US,Intermediate,3.8,133728,genre fiction,"Amazon Digital Services,  Inc.",76
2014,City of Heavenly Fire,Cassandra Clare,eng,Famous,4.48,177796,genre fiction,"Amazon Digital Services,  Inc.",77
1986,Love You Forever,"Robert Munsch, Sheila McGraw",en-GB,Intermediate,4.34,159703,genre fiction,"Amazon Digital Services,  Inc.",78
2006,Cell,Stephen King,en-US,Intermediate,3.64,144591,genre fiction,HarperCollins Publishers,79
